
2022/06/28 (19:03:52) | ===> btop++ v.1.2.7
2022/06/28 (19:03:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/28 (19:04:28) | ===> btop++ v.1.2.7
2022/06/28 (19:04:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/28 (19:07:28) | ===> btop++ v.1.2.7
2022/06/28 (19:07:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/28 (19:07:42) | ===> btop++ v.1.2.7
2022/06/28 (19:07:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/28 (19:07:44) | ===> btop++ v.1.2.7
2022/06/28 (19:07:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/28 (19:07:48) | ===> btop++ v.1.2.7
2022/06/28 (19:07:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
